Field Name,Field Key,Type,Custom Type,Hits (Sampled),Projects Using,Project List,Is Global,Context Count,Status
Reach,customfield_20508,number,jira.polaris:rating,1,1,FPMD,True,0,Low Usage
Owner,customfield_16095,user,com.atlassian.jira.plugin.system.customfieldtypes:userpicker,1,1,ENG,True,1,Low Usage
What elevated access is needed?,customfield_15994,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,ENG,True,1,Low Usage
Username,customfield_15984,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,TESTSOFT,True,1,Low Usage
Name,customfield_15982,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,ENG,True,1,Low Usage
Do you need to be able to login to the Service Account?,customfield_15965,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,ENG,True,1,Low Usage
Specify what environment for access is needed,customfield_15925,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,ENG,True,1,Low Usage
Vendor(s),customfield_11326,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,PRM,True,1,Low Usage
Legal/Regulatory,customfield_11328,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,PHX,True,1,Low Usage
Bucket,customfield_16413,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,ABAHS,True,0,Low Usage
Short description,customfield_16416,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,ABAHS,True,0,Low Usage
Course Title,customfield_16174,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
AWS Role,customfield_16173,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Grafana Access,customfield_22850,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
AWS Environment (old),customfield_16172,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Frontdoor Learning Services,customfield_16171,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Warranty Manager Roles,customfield_16178,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
2-10 App Support,customfield_18591,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Do you require Qualtrics?,customfield_16176,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Cost Centers,customfield_16175,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
AHS Ecom Issue Selection,customfield_16179,option-with-child,com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect,0,0,,True,1,Unused
Satisfaction,customfield_12800,sd-feedback,com.atlassian.servicedesk:sd-request-feedback,0,0,,True,1,Unused
Satisfaction date,customfield_12801,datetime,com.atlassian.servicedesk:sd-request-feedback-date,0,0,,True,1,Unused
Atlassian Project,customfield_22849,atlas-project,com.atlassian.jira.plugin.system.customfieldtypes:atlas-project,0,0,,True,1,Unused
"If applicable, has the BPC approved your procedure for publishing to KEYS?",customfield_16170,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Class Type,customfield_16162,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Is this request an expedited request?,customfield_16161,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Contact ID of the call requesting to be retrieved,customfield_16160,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Frontdoor Learning Support,customfield_16167,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
KEYS Support,customfield_16166,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Instructor,customfield_16165,user,com.atlassian.jira.plugin.system.customfieldtypes:userpicker,0,0,,True,1,Unused
"If applicable, has the team lead for your department/vertical approved this request?",customfield_16169,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
KEYS Services,customfield_16168,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
2-10 Application Access,customfield_20654,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,0,0,,True,1,Unused
Will you need to be notified via email when a new ticket is submitted,customfield_16150,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Is there an alternative root name?,customfield_16156,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
What is the cost center that will be buying the domain?,customfield_16155,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
What is/are the domain(s) you would like to purchase?,customfield_16154,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
ILINX Batch Profile,customfield_16153,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Reach,customfield_17007,number,com.atlassian.jira.plugin.system.customfieldtypes:float,0,0,,True,0,Unused
Device Types,customfield_16159,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Steps to Reproduce,customfield_16158,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,1,Unused
Name of Service Account,customfield_16157,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
What type of class error occured,customfield_16141,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
What service is having problems?,customfield_16140,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
What was the expected Product result,customfield_16145,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,1,Unused
What was the original Jira requirement ticket,customfield_16144,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Is the application due-diligence completed,customfield_16143,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Team Lead,customfield_16149,user,com.atlassian.jira.plugin.system.customfieldtypes:userpicker,0,0,,True,1,Unused
WebOps Request Type,customfield_17238,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Create new or update ,customfield_16148,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Queue name,customfield_16147,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Smartsheet Groups,customfield_18327,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Optimizely Project,customfield_22815,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Optimizely Platform Access,customfield_22814,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Which service is having problems?,customfield_16138,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Business Unit/Department,customfield_17469,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Which service is having problems?,customfield_16137,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Screen URL,customfield_16378,string,com.atlassian.jira.plugin.system.customfieldtypes:url,0,0,,True,1,Unused
Which service is having problems?,customfield_16139,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
EPM Assigned - Manual Input,customfield_20869,array,com.atlassian.jira.plugin.system.customfieldtypes:people,0,0,,True,0,Unused
Why do you require Message Gears,customfield_16123,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Do you require Miro access,customfield_16120,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Will this service account solely be used for system to system interactions and not 'interactive'?,customfield_16127,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Will this service account be restricted based upon function and not require 'super user' access?,customfield_16126,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Is this exception related to requesting a generic Security Account,customfield_16125,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Employee Number,customfield_16129,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,0,0,,True,1,Unused
Will this system account only be used for targeted systems and not unrelated systems?,customfield_16128,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Success Metrics,customfield_16592,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,0,Unused
Acceptance Citeria,customfield_16591,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,0,Unused
Business Value Description,customfield_16590,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,0,Unused
Business Owner,customfield_16596,array,com.atlassian.jira.plugin.system.customfieldtypes:people,0,0,,True,0,Unused
Will this change cause an outage?,customfield_16112,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Send Cadence Specification,customfield_16595,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,0,Unused
Who is the Change Coordinator?,customfield_16111,user,com.atlassian.jira.plugin.system.customfieldtypes:userpicker,0,0,,True,1,Unused
Audience Summary,customfield_16594,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,0,Unused
Partner API Error,customfield_16110,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
Holdout,customfield_16593,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,0,0,,True,0,Unused
Opsgenie Role,customfield_16116,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
OKR,customfield_16599,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,0,Unused
"If yes, who will be responsible for communicating the outage?",customfield_16115,user,com.atlassian.jira.plugin.system.customfieldtypes:userpicker,0,0,,True,1,Unused
Campaign Type,customfield_16598,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,0,Unused
Is the data involved within the scope of PCI?,customfield_16114,option,com.atlassian.jira.plugin.system.customfieldtypes:select,0,0,,True,1,Unused
