"Name","Key","Type","Custom Type"
"Acceptance Criteria","customfield_10612","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Innotas Tasks - Projects","customfield_11701","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Innotas Project - AHS / SS","customfield_11708","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"2-10 Application Access","customfield_20654","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Will you need to be notified via email when a new ticket is submitted","customfield_16150","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Is there an alternative root name?","customfield_16156","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What is the cost center that will be buying the domain?","customfield_16155","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What is/are the domain(s) you would like to purchase?","customfield_16154","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"ILINX Batch Profile","customfield_16153","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Reach","customfield_17007","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Device Types","customfield_16159","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Steps to Reproduce","customfield_16158","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Name of Service Account","customfield_16157","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What type of class error occured","customfield_16141","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What service is having problems?","customfield_16140","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What was the expected Product result","customfield_16145","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"What was the original Jira requirement ticket","customfield_16144","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Is the application due-diligence completed","customfield_16143","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Final Audience","customfield_18560","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"Team Lead","customfield_16149","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"WebOps Request Type","customfield_17238","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Create new or update ","customfield_16148","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Queue name","customfield_16147","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Smartsheet Groups","customfield_18327","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Total Email Count","customfield_22816","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Optimizely Project","customfield_22815","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Optimizely Platform Access","customfield_22814","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"I&D Team Members","customfield_21721","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Which service is having problems?","customfield_16138","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Business Unit/Department","customfield_17469","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Final Campaign","customfield_18559","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"Which service is having problems?","customfield_16137","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Screen URL","customfield_16378","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"Which service is having problems?","customfield_16139","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Final Template","customfield_18558","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"EPM Assigned - Manual Input","customfield_20869","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Start Quarter","customfield_20621","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Why do you require Message Gears","customfield_16123","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Do you require Miro access","customfield_16120","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Will this service account solely be used for system to system interactions and not 'interactive'?","customfield_16127","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Will this service account be restricted based upon function and not require 'super user' access?","customfield_16126","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Is this exception related to requesting a generic Security Account","customfield_16125","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Employee Number","customfield_16129","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Will this system account only be used for targeted systems and not unrelated systems?","customfield_16128","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Success Metrics","customfield_16592","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Acceptance Citeria","customfield_16591","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Business Value Description","customfield_16590","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Business Owner","customfield_16596","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Will this change cause an outage?","customfield_16112","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Send Cadence Specification","customfield_16595","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Who is the Change Coordinator?","customfield_16111","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"Audience Summary","customfield_16594","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Partner API Error","customfield_16110","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Holdout","customfield_16593","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Opsgenie Role","customfield_16116","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"OKR","customfield_16599","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"If yes, who will be responsible for communicating the outage?","customfield_16115","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"Campaign Type","customfield_16598","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Is the data involved within the scope of PCI?","customfield_16114","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Approvers","customfield_16597","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Has this change been tested in a pre-production environment? If yes, please attach proof of UAT or associated JIRA records","customfield_16113","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Time to review normal change","customfield_16117","sd-servicelevelagreement","com.atlassian.servicedesk:sd-sla-field"
"Request Type","customfield_17670","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"State","customfield_16585","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"ProConnect Standalone Roles","customfield_16101","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"ROI / Justification","customfield_17674","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Does the ProConnect agent need a standalone role(s)?","customfield_16100","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Channel","customfield_17673","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Power BI Pro","customfield_16583","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Target Audience","customfield_17672","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Power BI Workspace","customfield_16582","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Existing Template or MG URL","customfield_17671","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"ProConnect Platform","customfield_16105","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Category","customfield_16589","option","com.atlassian.jira.plugin.system.customfieldtypes:jwm-category"
"Estimate (Sprints)","customfield_16588","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"ProConnect Five9 Role","customfield_16103","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"QA Scope","customfield_16587","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Testing Points","customfield_16586","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Supporting Documentation","customfield_17675","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
