"Name","Created","Updated"
"(real)Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2023-06-08T10:00:06.582-0500","2025-02-28T11:25:35.029-0600"
"(real)Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2023-06-08T09:58:14.337-0500","2025-02-28T11:36:59.704-0600"
"(real)Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2023-06-08T09:53:46.493-0500","2025-02-28T11:43:32.417-0600"
"(real)Generic Service Request Fulfilment workflow for Jira Service Desk","2023-06-08T09:51:06.985-0500","2024-01-22T14:12:31.019-0600"
"Replace Equip","2023-01-30T11:21:07.486-0600","2023-01-30T14:00:11.838-0600"
"Research / Spike Workflow","2026-06-17T13:24:43.994-0500","2023-06-30T04:13:03.684-0500"
"RESR Service Request Workflow","2023-01-10T14:06:17.211-0600","2023-10-23T15:34:30.730-0500"
"RESR Service Request Workflow (real)","2023-11-20T14:15:57.252-0600","2023-11-20T14:17:21.965-0600"
"Return Equip","2023-01-30T11:13:38.442-0600","2023-01-30T11:20:40.059-0600"
"Risk Acceptance Request Workflow","2025-03-12T15:33:41.510-0500","2025-03-20T16:40:00.765-0500"
"Risk Acceptance Request Workflow (6 approval step)","2025-03-28T13:13:19.146-0500","2025-03-28T13:28:00.994-0500"
"Risk Acceptance Request Workflow (7 approval step)","2025-06-23T12:44:59.732-0500","2025-06-23T12:56:20.331-0500"
"SECHUB: General request workflow for Jira Service Management","2024-03-14T12:21:32.866-0500","2024-03-14T12:21:32.949-0500"
"SECHUB: Jira Service Management default workflow","2024-03-14T12:21:33.020-0500","2024-03-14T12:21:33.076-0500"
"Simple Approval Workflow","2025-02-04T16:41:25.766-0600","2025-05-08T14:02:29.319-0500"
"Software Simplified Workflow for Project B123456","2022-06-14T11:29:00.147-0500","2022-06-14T11:29:00.147-0500"
"Software Simplified Workflow for Project COSMERE","2024-08-29T15:21:43.695-0500","2024-08-29T15:21:43.695-0500"
"Software Simplified Workflow for Project FPM","2023-09-14T14:53:17.345-0500","2023-09-14T14:53:17.345-0500"
"Software Simplified Workflow for Project UX","2026-06-17T13:24:43.994-0500","2024-11-15T16:44:36.719-0600"
"SOR: Project Management Workflow","2021-12-02T12:09:37.222-0600","2021-12-02T12:09:37.820-0600"
"SRSE: Default ESM workflow for Jira Service Management","2022-08-22T12:49:40.848-0500","2022-08-22T12:49:40.925-0500"
"SRSE: Jira Service Management default workflow","2022-08-22T12:49:41.147-0500","2022-08-22T12:49:41.244-0500"
"SRSE: Simple ESM workflow for Jira Service Management","2022-08-22T12:49:40.576-0500","2022-08-22T12:49:40.680-0500"
"Standard Test Case Workflow","2026-06-17T13:24:43.994-0500","2023-06-30T04:13:03.684-0500"
"STREEM: Copy of Generic Simplified Workflow (with CR and R4D)","2024-10-16T14:38:20.262-0500","2024-10-16T14:38:20.262-0500"
"Streem Shipments Workflow","2024-12-09T21:13:30.428-0600","2024-12-17T17:25:44.290-0600"
"[SUBTASK BLOCK] Generic Simplified Workflow (with Code Review, QA, and Ready for Deployment)","2022-11-02T10:13:25.485-0500","2024-02-07T13:52:02.944-0600"
"TALENT: TA Requisition Form Workflow","2023-08-16T14:51:14.943-0500","2023-08-16T15:14:46.040-0500"
"TALENT: TA Requisition Form Workflow v2","2024-01-05T10:32:30.102-0600","2024-01-05T10:33:17.552-0600"
"TEMP ONE STEP APPROVE","2023-03-09T12:57:32.816-0600","2023-06-30T04:13:03.684-0500"
"Tenable Vulnerability Workflow","2025-08-28T12:34:33.048-0500","2025-08-28T12:34:33.048-0500"
"test 1-approval flow","2023-11-27T11:45:15.221-0600","2023-11-27T14:18:57.602-0600"
"Test Cases Workflow v1.2","2024-12-09T21:13:31.078-0600","2024-12-09T21:13:31.078-0600"
"Test Case Workflow v2","2020-06-03T15:42:38.728-0500","2020-10-14T18:25:06.379-0500"
"test dee","2024-05-16T15:55:26.408-0500","2024-05-22T14:10:29.093-0500"
"Test Executions v1","2024-12-09T21:13:32.595-0600","2024-12-09T21:13:32.595-0600"
"TRAIN: Default Workflow","2023-08-08T15:04:38.329-0500","2023-08-08T15:05:22.808-0500"
"WORK210: Project Management Workflow","2025-03-24T09:49:11.484-0500","2025-04-25T11:48:44.541-0500"
"WORKTEST: Project Management Workflow","2021-05-03T14:27:06.422-0500","2021-05-03T14:27:06.837-0500"
"zArchive Workflow","2023-06-15T11:30:32.457-0500","2025-12-22T14:33:38.835-0600"
